,NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
71483,210062137765;2024;9;F;1;4;1;1;7;;0;2507507;João Pessoa;25;PB;E;E;D;D;3;A;H;A;B;C;B;B;B;A;B;B;B;C;A;B;C;D;A
71484,210062137766;2024;1;F;1;1;1;3;0;;1;3106200;Belo Horizonte;31;MG;F;G;D;D;2;A;G;A;C;D;B;A;B;A;B;B;B;D;A;B;B;B;D
71485,210062137767;2024;1;M;1;3;1;3;0;;1;3205309;Vitória;32;ES;F;G;E;E;4;A;P;A;D;D;B;A;B;A;B;A;A;B;B;B;B;E;D
71486,210062137768;2024;1;M;1;3;1;3;0;;1;2601102;Araripina;26;PE;D;F;A;D;5;A;E;A;B;C;A;A;B;A;A;A;A;B;A;A;B;D;A
71487,210062137769;2024;2;M;1;1;1;3;0;;1;4113205;Lapa;41;PR;C;G;D;D;4;A;E;A;B;D;B;A;B;A;B;B;A;B;A;B;B;D;A
71488,210062137770;2024;3;F;1;2;1;1;1;;0;3116605;Cláudio;31;MG;E;E;D;D;3;B;C;A;C;C;B;B;B;B;B;B;B;D;B;B;B;D;A
71489,210062137771;2024;4;F;1;0;1;1;1;;0;3167103;Serro;31;MG;D;E;D;D;4;A;F;B;C;D;B;A;B;A;B;B;B;C;B;B;B;E;A
71490,210062137772;2024;11;M;1;3;1;1;0;;0;3136702;Juiz de Fora;31;MG;B;B;C;B;6;A;C;A;C;C;B;A;B;A;B;B;A;B;B;B;B;C;A
71491,210062137773;2024;1;F;1;3;1;3;0;;1;1501402;Belém;15;PA;E;G;C;E;5;A;N;B;C;D;C;A;B;A;B;B;A;D;B;B;C;E;D
71492,210062137774;2024;1;M;1;1;1;3;0;;1;3550308;São Paulo;35;SP;E;G;C;E;4;A;J;D;D;D;D;A;B;B;B;B;B;D;A;B;E;E;D
71493,210062137775;2024;1;M;1;3;1;3;0;;1;2211100;União;22;PI;C;B;A;A;7;B;B;A;B;B;A;A;A;A;A;A;A;B;A;A;A;B;A
71494,210062137776;2024;2;M;1;3;1;3;0;;1;3170206;Uberlândia;31;MG;H;F;F;F;4;A;O;B;D;D;C;B;C;B;B;B;B;C;B;B;E;E;D
71495,210062137777;2024;6;M;1;4;1;1;2;;0;1508001;Tomé-Açu;15;PA;B;E;D;D;2;B;E;A;B;C;B;B;B;A;B;A;A;B;A;B;A;D;A
71496,210062137778;2024;4;F;1;3;1;1;2;;0;2306306;Itapajé;23;CE;G;F;E;D;5;A;I;A;C;D;B;C;B;A;B;B;A;C;A;B;C;E;B
71497,210062137779;2024;15;F;1;3;1;1;18;;0;2305001;Guaraciaba do Norte;23;CE;B;C;B;B;5;B;F;B;C;D;B;C;B;A;B;A;A;B;A;B;B;D;A
71498,210062137780;2024;5;F;1;3;1;2;0;;0;2515401;São Vicente do Seridó;25;PB;H;H;A;A;3;B;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;B;A
71499,210062137781;2024;10;F;1;4;1;1;8;;0;3167202;Sete Lagoas;31;MG;E;E;C;F;4;B;B;A;B;C;A;A;B;A;B;A;A;B;A;A;A;E;A
71500,210062137782;2024;1;M;1;1;1;3;0;;1;5002704;Campo Grande;50;MS;F;F;D;D;4;A;E;A;C;D;B;A;B;A;B;B;B;C;A;B;A;D;D
71501,210062137783;2024;1;M;1;3;1;3;0;;1;2304400;Fortaleza;23;CE;G;F;D;D;2;A;H;A;B;C;B;B;B;A;B;B;B;C;B;B;B;C;A
71502,210062137784;2024;3;F;1;1;1;1;1;;0;3304557;Rio de Janeiro;33;RJ;E;G;D;D;4;A;H;A;B;C;A;B;B;A;B;B;B;D;A;B;B;D;E
